,Ryz Holding,,,,,,,,,,,,,
,Profit and Loss,,,,,,,,,,,,,
,Month,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CONSOLIDATED,,,,,,,,,,,,,
,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
,Total Income,"$693,153","$798,025","$718,322","$716,047","$716,067","$906,449","$712,273","$712,508","$712,748","$712,993","$713,243","$713,498","$8,825,327"
,Total Cost of Goods Sold,"-$497,474","-$578,699","-$535,675","-$534,752","-$534,782","-$677,527","-$533,027","-$533,161","-$533,298","-$533,438","-$533,580","-$533,725","-$6,559,140"
,Gross Profit,"$195,679","$219,327","$182,646","$181,295","$181,284","$228,922","$179,246","$179,347","$179,450","$179,555","$179,663","$179,772","$2,266,187"
,Total Expenses,"-$195,412","-$203,921","-$178,605","-$174,797","-$171,297","-$171,297","-$171,297","-$171,297","-$171,297","-$171,297","-$171,297","-$171,297","-$2,123,109"
,Operating Income,$267,"$15,406","$4,041","$6,498","$9,987","$57,625","$7,949","$8,050","$8,153","$8,259","$8,366","$8,475","$143,078"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Ryz Labs HC LLC,,,,,,,,,,,,,
,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
14,Total Income,"$665,520","$704,076","$704,153","$701,661","$701,459","$701,661","$697,208","$697,208","$697,208","$697,208","$697,208","$697,208","$8,361,778"
15,Total Cost of Goods Sold,"-$480,528","-$513,496","-$521,715","-$520,668","-$520,572","-$520,668","-$518,556","-$518,556","-$518,556","-$518,556","-$518,556","-$518,556","-$6,188,984"
16,Gross Profit,"$184,992","$190,579","$182,438","$180,993","$180,887","$180,993","$178,652","$178,652","$178,652","$178,652","$178,652","$178,652","$2,172,794"
17,Total Expenses,"-$105,118","-$101,260","-$87,184","-$83,176","-$79,676","-$79,676","-$79,676","-$79,676","-$79,676","-$79,676","-$79,676","-$79,676","-$1,014,148"
18,Operating Income,"$79,874","$89,319","$95,253","$97,817","$101,210","$101,317","$98,976","$98,976","$98,976","$98,976","$98,976","$98,976","$1,158,646"
19,,,,,,,,,,,,,,
20,Offsiteio Inc,,,,,,,,,,,,,
21,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
22,Total Income,"$5,982","$79,994",$0,$0,$0,"$189,954",$0,$0,$0,$0,$0,$0,"$275,930"
23,Total Cost of Goods Sold,$0,"-$52,289",$0,$0,$0,"-$142,520",$0,$0,$0,$0,$0,$0,"-$194,809"
24,Gross Profit,"$5,982","$27,705",$0,$0,$0,"$47,434",$0,$0,$0,$0,$0,$0,"$81,121"
25,Total Expenses,"-$4,527","-$8,498","-$4,850","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","-$62,429"
26,Operating Income,"$1,455","$19,208","-$4,850","-$4,950","-$4,950","$42,484","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","-$4,950","$18,692"
27,,,,,,,,,,,,,,
28,Ryz Labs Studio LLC,,,,,,,,,,,,,
29,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
30,Total Income,"$9,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$26,000"
31,Total Cost of Goods Sold,"-$2,845","-$2,596","-$3,521","-$3,521","-$3,521","-$3,521","-$3,521","-$3,521","-$3,521","-$3,521","-$3,521","-$3,521","-$40,646"
32,Gross Profit,"$6,655","-$1,096","-$2,021","-$2,021","-$2,021","-$2,021","-$2,021","-$2,021","-$2,021","-$2,021","-$2,021","-$2,021","-$14,646"
33,Total Expenses,"-$1,214","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$1,216","-$14,590"
34,Operating Income,"$5,441","-$2,312","-$3,237","-$3,237","-$3,237","-$3,237","-$3,237","-$3,237","-$3,237","-$3,237","-$3,237","-$3,237","-$29,236"
35,,,,,,,,,,,,,,
36,Ntrvsta,,,,,,,,,,,,,
37,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
38,Total Income,"$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$21,600"
39,Total Cost of Goods Sold,"-$6,160","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$3,581","-$45,551"
40,Gross Profit,"-$4,360","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$1,781","-$23,951"
41,Total Expenses,"-$30,963","-$31,758","-$27,165","-$27,165","-$27,165","-$27,165","-$27,165","-$27,165","-$27,165","-$27,165","-$27,165","-$27,165","-$334,371"
42,Operating Income,"-$35,323","-$33,539","-$28,946","-$28,946","-$28,946","-$28,946","-$28,946","-$28,946","-$28,946","-$28,946","-$28,946","-$28,946","-$358,322"
43,,,,,,,,,,,,,,
44,Hip Train Inc,,,,,,,,,,,,,
45,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
46,Total Income,"$10,351","$10,656","$10,869","$11,086","$11,308","$11,534","$11,765","$12,000","$12,240","$12,485","$12,735","$12,989","$140,019"
47,Total Cost of Goods Sold,"-$7,940","-$6,737","-$6,859","-$6,983","-$7,109","-$7,238","-$7,370","-$7,504","-$7,641","-$7,780","-$7,923","-$8,068","-$89,150"
48,Gross Profit,"$2,411","$3,919","$4,010","$4,104","$4,199","$4,296","$4,395","$4,496","$4,600","$4,705","$4,812","$4,921","$50,869"
49,Total Expenses,"-$2,850","-$6,039","-$3,039","-$3,139","-$3,139","-$3,139","-$3,139","-$3,139","-$3,139","-$3,139","-$3,139","-$3,139","-$40,181"
50,Operating Income,-$438,"-$2,120",$971,$965,"$1,060","$1,157","$1,256","$1,357","$1,460","$1,566","$1,673","$1,782","$10,689"
51,,,,,,,,,,,,,,
52,Ryz Labs LLC,,,,,,,,,,,,,
53,,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26,Total
54,Total Expenses,"-$50,740","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$657,390"
55,Operating Income,"-$50,740","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$55,150","-$657,390"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,HC Projected Sales,"$703,923","$782,136","$860,350","$938,564","$1,016,777","$1,094,991","$1,173,204","$1,251,418","$1,329,632","$1,407,845","$1,486,059","$1,564,273","$13,609,171"
,Variance vs Projected,"-$38,402","-$78,061","-$156,197","-$236,903","-$315,319","-$393,330","-$475,996","-$554,210","-$632,423","-$710,637","-$788,851","-$867,064","-$5,247,393"